ndc_description,ndc,nadac_per_unit,effective_date,pricing_unit,pharmacy_type_indicator,otc,explanation_code,classification_for_rate_setting,corresponding_generic_drug_nadac_per_unit,corresponding_generic_drug_effective_date,as_of_date
"ALLOPURINOL 300 MG TABLET",60687068811,0.07487,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALLOPURINOL 300 MG TABLET",62135051731,0.07487,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALLOPURINOL 300 MG TABLET",62135051790,0.07487,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALLOPURINOL 300 MG TABLET",62584071301,0.07487,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALLOPURINOL 300 MG TABLET",62584071311,0.07487,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALLOPURINOL 300 MG TABLET",63304054001,0.07487,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALLOPURINOL 300 MG TABLET",63304054005,0.07487,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALLOPURINOL 300 MG TABLET",63739079610,0.07487,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALLOPURINOL 300 MG TABLET",70710121001,0.07487,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALLOPURINOL 300 MG TABLET",70710121005,0.07487,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALMACONE-2 LIQUID",00536001583,0.01133,09/20/2023,ML,C/I,Y,"1, 5",G,,,10/04/2023
"ALMOTRIPTAN MALATE 12.5 MG TAB",00093526119,17.02195,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALMOTRIPTAN MALATE 12.5 MG TAB",00093526129,17.02195,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALMOTRIPTAN MALATE 12.5 MG TAB",00378524632,17.02195,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALMOTRIPTAN MALATE 12.5 MG TAB",00378524685,17.02195,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALMOTRIPTAN MALATE 12.5 MG TAB",27241004221,17.02195,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALMOTRIPTAN MALATE 12.5 MG TAB",27241004268,17.02195,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALMOTRIPTAN MALATE 6.25 MG TAB",00093526018,17.11367,01/18/2023,EA,C/I,N,4,G,,,10/04/2023
"ALMOTRIPTAN MALATE 6.25 MG TAB",00093526019,17.11367,01/18/2023,EA,C/I,N,4,G,,,10/04/2023
"ALMOTRIPTAN MALATE 6.25 MG TAB",00378524532,17.11367,01/18/2023,EA,C/I,N,4,G,,,10/04/2023
"ALMOTRIPTAN MALATE 6.25 MG TAB",00378524585,17.11367,01/18/2023,EA,C/I,N,4,G,,,10/04/2023
"ALMOTRIPTAN MALATE 6.25 MG TAB",27241004111,17.11367,01/18/2023,EA,C/I,N,4,G,,,10/04/2023
"ALMOTRIPTAN MALATE 6.25 MG TAB",27241004168,17.11367,01/18/2023,EA,C/I,N,4,G,,,10/04/2023
"ALOGLIPTIN 12.5 MG TABLET",45802010365,4.91977,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALOGLIPTIN 25 MG TABLET",45802015065,5.19014,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALOGLIPTIN 6.25 MG TABLET",45802008765,4.90773,01/18/2023,EA,C/I,N,"4, 6",G,,,10/04/2023
"ALOGLIPTIN-METFORMIN 12.5-1000",45802021172,2.90667,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALOGLIPTIN-METFORMIN 12.5-500",45802016972,2.49681,05/17/2023,EA,C/I,N,"4, 6",G,,,10/04/2023
"ALOSETRON HCL 0.5 MG TABLET",45963047903,2.91040,07/19/2023,EA,C/I,N,"4, 6",G,,,10/04/2023
"ALOSETRON HCL 0.5 MG TABLET",64980045303,2.91040,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ALOSETRON HCL 0.5 MG TABLET",65162024803,2.91040,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ALOSETRON HCL 0.5 MG TABLET",70756070230,2.91040,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ALOSETRON HCL 1 MG TABLET",45963048003,5.98161,06/21/2023,EA,C/I,N,"4, 6",G,,,10/04/2023
"ALOSETRON HCL 1 MG TABLET",64980045403,5.98161,06/21/2023,EA,C/I,N,4,G,,,10/04/2023
"ALOSETRON HCL 1 MG TABLET",65162024903,5.98161,06/21/2023,EA,C/I,N,4,G,,,10/04/2023
"ALOSETRON HCL 1 MG TABLET",70756070130,5.98161,06/21/2023,EA,C/I,N,4,G,,,10/04/2023
"ALPHAGAN P 0.1% DROPS",00023932110,37.20658,01/03/2023,ML,C/I,N,"2, 5",B,,,10/04/2023
"ALPHAGAN P 0.1% DROPS",00023932105,37.32115,01/03/2023,ML,C/I,N,"2, 5",B,,,10/04/2023
"ALPHAGAN P 0.1% DROPS",00023932115,37.34485,01/03/2023,ML,C/I,N,"2, 5",B,,,10/04/2023
"ALPHAGAN P 0.15% EYE DROPS",00023917705,39.52419,01/03/2023,ML,C/I,N,"2, 5",B,22.27,09/20/2023,10/04/2023
"ALPHAGAN P 0.15% EYE DROPS",00023917710,39.64871,01/03/2023,ML,C/I,N,"4, 5",B,20.6049,09/20/2023,10/04/2023
"ALPHAGAN P 0.15% EYE DROPS",00023917715,39.82295,01/03/2023,ML,C/I,N,"4, 5",B,24.01167,09/20/2023,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",00228202710,0.02365,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",00228202750,0.02365,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",00228202796,0.02365,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",00781106101,0.02365,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",00781106105,0.02365,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",00781106110,0.02365,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",47335060313,0.02365,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",47335060318,0.02365,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",47335060388,0.02365,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",51991070401,0.02365,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",51991070405,0.02365,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",51991070410,0.02365,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",59762371901,0.02365,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",59762371903,0.02365,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",59762371904,0.02365,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",65862067601,0.02365,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",65862067605,0.02365,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.25 MG TABLET",65862067699,0.02365,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",00228202910,0.02451,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",00228202950,0.02451,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",00228202996,0.02451,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",00781107701,0.02451,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",00781107705,0.02451,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",00781107710,0.02451,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",47335060413,0.02451,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",47335060418,0.02451,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",51991070501,0.02451,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",51991070505,0.02451,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",51991070510,0.02451,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",59762372001,0.02451,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",59762372003,0.02451,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",59762372004,0.02451,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",65862067701,0.02451,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",65862067705,0.02451,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 0.5 MG TABLET",65862067799,0.02451,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",00228203110,0.02545,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",00228203150,0.02545,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",00228203196,0.02545,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",00781107901,0.02545,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",00781107905,0.02545,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",00781107910,0.02545,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",47335060513,0.02545,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",47335060588,0.02545,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",51991070601,0.02545,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",51991070605,0.02545,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",51991070610,0.02545,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",59762372101,0.02545,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",59762372103,0.02545,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",59762372104,0.02545,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",65862067801,0.02545,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",65862067805,0.02545,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 1 MG TABLET",65862067899,0.02545,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 2 MG TABLET",00228203910,0.05477,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 2 MG TABLET",00781108901,0.05477,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 2 MG TABLET",00781108905,0.05477,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 2 MG TABLET",47335060688,0.05477,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 2 MG TABLET",51991070701,0.05477,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 2 MG TABLET",51991070705,0.05477,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 2 MG TABLET",59762372201,0.05477,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALPRAZOLAM 2 MG TABLET",59762372203,0.05477,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALPRAZOLAM 2 MG TABLET",65862067901,0.05477,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM 2 MG TABLET",65862067905,0.05477,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM ER 0.5 MG TABLET",00228308306,0.15209,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM ER 0.5 MG TABLET",65862045460,0.15209,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM ER 1 MG TABLET",00228308406,0.21222,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM ER 1 MG TABLET",65862045560,0.21222,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM ER 2 MG TABLET",00228308706,0.27068,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM ER 2 MG TABLET",65862045660,0.27068,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALPRAZOLAM ER 3 MG TABLET",00228308606,0.27000,08/23/2023,EA,C/I,N,4,G,,,10/04/2023
"ALPRAZOLAM ER 3 MG TABLET",65862045760,0.27000,08/23/2023,EA,C/I,N,4,G,,,10/04/2023
"ALPRAZOLAM ODT 0.5 MG TAB",00228402211,1.11440,08/23/2023,EA,C/I,N,4,G,,,10/04/2023
"ALPRAZOLAM ODT 0.5 MG TAB",49884011152,1.11440,08/23/2023,EA,C/I,N,4,G,,,10/04/2023
"ALPRAZOLAM ODT 0.5 MG TAB",49884011174,1.11440,08/23/2023,EA,C/I,N,4,G,,,10/04/2023
"ALPRAZOLAM XR 0.5 MG TABLET",59762005701,0.15209,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALPRAZOLAM XR 1 MG TABLET",59762005901,0.21222,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALPRAZOLAM XR 2 MG TABLET",59762006601,0.27068,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"ALPRAZOLAM XR 3 MG TABLET",59762006801,0.27000,08/23/2023,EA,C/I,N,"4, 6",G,,,10/04/2023
"ALREX 0.2% EYE DROPS",24208035310,53.85604,01/01/2023,ML,C/I,N,"4, 5",B,,,10/04/2023
"ALREX 0.2% EYE DROPS",24208035305,54.17727,01/01/2023,ML,C/I,N,"2, 5",B,,,10/04/2023
"ALTAVERA-28 TABLET",70700011684,0.15097,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALTAVERA-28 TABLET",70700011685,0.15097,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALVESCO 160 MCG INHALER",70515071201,43.16411,02/22/2023,GM,C/I,N,"2, 5",B,,,10/04/2023
"ALVESCO 80 MCG INHALER",70515071101,43.07803,09/20/2023,GM,C/I,N,"1, 5",B,,,10/04/2023
"ALYACEN 1-35 28 TABLET",68462039429,0.29071,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALYACEN 1-35 28 TABLET",68462039484,0.29071,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALYACEN 7-7-7-28 TABLET",68462055629,0.28298,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALYACEN 7-7-7-28 TABLET",68462055684,0.28298,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ALYQ 20 MG TABLET",00093333406,0.25751,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMABELZ 0.5 MG-0.1 MG TABLET",68180082911,0.73228,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMABELZ 0.5 MG-0.1 MG TABLET",68180082913,0.73228,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMABELZ 0.5 MG-0.1 MG TABLET",68180082971,0.73228,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMABELZ 0.5 MG-0.1 MG TABLET",68180082973,0.73228,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMABELZ 1 MG-0.5 MG TABLET",68180083011,0.88518,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMABELZ 1 MG-0.5 MG TABLET",68180083013,0.88518,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMABELZ 1 MG-0.5 MG TABLET",68180083071,0.88518,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMABELZ 1 MG-0.5 MG TABLET",68180083073,0.88518,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",00832101500,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",00832101550,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",00904704206,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",00904704240,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",00904704259,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",00904704261,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",16571083401,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",16571083450,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",23155036201,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",23155036205,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",42543049301,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",42543049305,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",50268006911,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",50268006915,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",60687042201,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",60687042211,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",62332024631,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",62332024671,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",68382051201,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",68382051205,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",69452014220,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",69452014230,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",72888003301,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",72888003305,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG CAPSULE",72888003330,0.16303,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG TABLET",00591492001,0.50826,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG TABLET",00591492005,0.50826,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG TABLET",00832011100,0.50826,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG TABLET",00832011103,0.50826,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG TABLET",00832011150,0.50826,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG TABLET",00832011189,0.50826,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG TABLET",42543049701,0.50826,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG TABLET",42543049705,0.50826,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 100 MG TABLET",62332058631,0.50826,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMANTADINE 50 MG/5 ML SOLUTION",00121064616,0.02287,09/20/2023,ML,C/I,N,"1, 5",G,,,10/04/2023
"AMANTADINE 50 MG/5 ML SOLUTION",60432009316,0.02287,09/20/2023,ML,C/I,N,"1, 5",G,,,10/04/2023
"AMANTADINE 50 MG/5 ML SOLUTION",62135001047,0.02287,09/20/2023,ML,C/I,N,"1, 5",G,,,10/04/2023
"AMBIEN 10 MG TABLET",00024542131,20.62979,01/03/2023,EA,C/I,N,4,B,0.03648,09/20/2023,10/04/2023
"AMBIEN 5 MG TABLET",00024540131,20.60487,01/03/2023,EA,C/I,N,4,B,0.03355,09/20/2023,10/04/2023
"AMBIEN CR 12.5 MG TABLET",00024552131,20.50311,01/03/2023,EA,C/I,N,4,B,0.15857,09/20/2023,10/04/2023
"AMETHIA 0.15-0.03-0.01 MG TAB",51862004701,0.27060,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMETHIA 0.15-0.03-0.01 MG TAB",51862004791,0.27060,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMETHYST 90-20 MCG TABLET",00480347224,1.15368,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMETHYST 90-20 MCG TABLET",52544029528,1.15368,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMILORIDE HCL 5 MG TABLET",00574029201,0.17080,09/20/2023,EA,C/I,N,"1, 6",G,,,10/04/2023
"AMILORIDE HCL 5 MG TABLET",42794000502,0.17080,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMILORIDE HCL 5 MG TABLET",49884011701,0.17080,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMILORIDE HCL 5 MG TABLET",49884011710,0.17080,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMILORIDE HCL-HYDROCHLOROTHIAZIDE 5-50 MG TAB",00555048302,0.41948,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMILORIDE HCL-HYDROCHLOROTHIAZIDE 5-50 MG TAB",00555048305,0.41948,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 100 MG TABLET",42494030703,0.71878,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 100 MG TABLET",50268009711,0.71878,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 100 MG TABLET",50268009715,0.71878,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 100 MG TABLET",51672405506,0.71878,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 100 MG TABLET",51862024030,0.71878,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 100 MG TABLET",68382029706,0.71878,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 100 MG TABLET",72888006030,0.71878,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",00904699361,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",29300035905,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",29300035916,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",51672402504,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",51862024105,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",51862024160,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",51862024190,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",60687043701,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",60687043711,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",63739005110,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",65862073205,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",65862073260,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",68382022705,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",68382022714,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",72888003905,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 200 MG TABLET",72888003960,0.10779,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMIODARONE HCL 400 MG TABLET",42494030903,1.74517,08/23/2023,EA,C/I,N,4,G,,,10/04/2023
"AMIODARONE HCL 400 MG TABLET",51672405706,1.74517,08/23/2023,EA,C/I,N,4,G,,,10/04/2023
"AMIODARONE HCL 400 MG TABLET",51862024230,1.74517,08/23/2023,EA,C/I,N,4,G,,,10/04/2023
"AMIODARONE HCL 400 MG TABLET",68382029806,1.74517,08/23/2023,EA,C/I,N,4,G,,,10/04/2023
"AMIODARONE HCL 400 MG TABLET",72888006130,1.74517,08/23/2023,EA,C/I,N,4,G,,,10/04/2023
"AMITIZA 24 MCG CAPSULES",64764024060,5.93305,02/22/2023,EA,C/I,N,2,B,1.74844,09/20/2023,10/04/2023
"AMITIZA 8 MCG CAPSULE",64764008060,5.91790,02/22/2023,EA,C/I,N,2,B,1.58902,09/20/2023,10/04/2023
"AMITRIPTYLINE HCL 10 MG TAB",00603221221,0.04195,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMITRIPTYLINE HCL 10 MG TAB",00603221232,0.04195,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMITRIPTYLINE HCL 10 MG TAB",00781148601,0.04195,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMITRIPTYLINE HCL 10 MG TAB",00781148610,0.04195,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMITRIPTYLINE HCL 10 MG TAB",16714025701,0.04195,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"AMITRIPTYLINE HCL 10 MG TAB",16714025702,0.04195,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
